1635951933482,1125,283,887,609,843,381,794,383,725,406,660,493,1508,2137,1444,2020,1536,2101,1645,2094,1750,2036
1635951936065,1421,648,1214,959,1140,640,1055,610,951,625,832,720,1665,1068,1862,706,2028,690,2169,765,2354,942
1635951938353,2242,670,2716,970,2568,710,2449,740,2340,794,2243,842,2815,807,3022,652,3156,693,3301,739,3490,852
1635951940989,2411,854,1994,611,2033,656,2037,708,2036,745,2011,738,2511,641,2584,635,2654,637,2706,707,2775,752
1635951943505,1792,485,1871,380,1870,399,1903,429,1904,438,1891,447,2505,650,2561,647,2628,642,2690,685,2762,745
1635951945807,1911,905,1959,746,2012,656,1942,678,1875,693,1818,685,2093,679,2105,633,2085,739,2141,753,2192,771
1635951948400,1858,978,2066,428,2056,426,1971,486,1910,454,1873,438,2650,624,2669,667,2714,692,2775,695,2835,712
1635951950803,2916,492,2755,-89,2779,-322,2644,-303,2490,-281,2346,-202,2951,-246,2815,-447,2937,-530,3080,-566,3316,-578
1635951953377,1662,551,1761,-562,1716,-536,1661,-525,1604,-522,1537,-540,2969,-218,2939,-351,3025,-349,3120,-389,3267,-370
1635951955803,2573,892,2413,607,2596,608,2466,613,2390,574,2359,570,2665,806,2694,842,2695,874,2718,913,2749,958
1635951958234,2460,714,2074,475,2041,375,1970,427,1912,451,1845,457,2338,456,2354,422,2393,471,2438,499,2490,506
1635951960638,2246,1045,2018,693,2144,630,2108,615,2005,637,1953,611,2159,739,2209,687,2253,743,2260,765,2308,777
1635951962836,1911,665,1746,353,1691,272,1656,322,1618,358,1558,387,1942,190,1810,226,1773,233,1809,269,1824,308
1635951965550,1726,751,1149,463,1160,499,1147,531,1128,556,1096,562,2047,677,2046,670,2063,698,2077,713,2087,699
1635951967944,971,856,1036,605,1007,605,995,629,962,644,911,659,1100,543,1084,525,1102,553,1127,561,1149,557
1635951970433,844,722,1007,604,978,476,938,485,910,534,868,566,1094,528,1096,493,1114,501,1137,521,1161,529
1635951972609,879,740,954,596,953,593,935,620,956,632,975,636,1096,535,1094,496,1114,505,1136,526,1159,536
1635951975163,1096,358,867,668,926,803,929,845,926,893,881,957,2055,323,2038,314,2063,333,2109,346,2188,353
1635951977560,1568,539,812,679,892,819,896,883,884,938,836,980,1637,1284,1613,1101,1695,1195,1804,1213,1923,1266
1635951980084,749,164,919,1020,877,981,866,1034,828,1067,761,1107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1635951982462,799,83,788,373,716,242,669,259,641,286,577,348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1635951985274,794,123,791,440,658,192,629,196,571,230,495,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1635951987714,771,71,727,407,686,240,636,233,588,248,508,332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1635951990374,765,41,757,412,699,230,639,204,607,237,522,323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1635951992815,773,47,737,375,722,347,652,198,607,215,526,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1635951995165,797,30,761,350,651,135,624,119,565,159,489,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1635951997414,812,52,752,414,703,275,642,216,604,239,522,327,1498,355,1664,191,1715,213,1759,260,1802,360
1635952000096,822,56,747,408,729,353,650,212,609,235,533,329,1524,366,1692,224,1755,245,1802,298,1843,381
1635952230548,1020,14,869,641,756,374,732,407,666,445,616,544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1635952233249,1339,413,1031,940,879,809,848,867,810,918,761,1001,1576,1082,1610,1000,1652,1005,1721,1001,1823,1044
1635952235465,932,433,1038,579,991,567,978,606,951,625,907,641,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1635952238245,730,733,1004,606,970,610,954,616,944,636,921,651,1117,545,1104,490,1138,546,1166,551,1183,555
1635952240768,636,743,1059,609,1004,586,1003,620,982,626,953,627,1207,569,1171,530,1203,534,1248,548,1290,536
1635952243420,923,776,1041,622,1018,606,1004,627,972,630,923,631,1079,527,1097,488,1103,534,1119,551,1141,562
1635952245923,946,800,1043,608,1037,616,1050,628,1061,641,1071,653,1092,532,1101,489,1107,535,1127,553,1154,563
1635952248511,939,807,1040,608,1029,617,1050,628,1060,640,1065,655,1092,533,1100,490,1105,538,1128,552,1151,561
1635952251038,929,798,1042,600,1032,620,1058,634,1063,649,1067,667,1096,534,1102,489,1106,540,1130,553,1155,561
1635952253239,954,809,960,526,1037,564,1066,573,1090,571,1096,568,1274,422,1263,444,1297,468,1343,474,1378,459
1635952256085,852,50,900,403,826,241,754,227,687,259,643,340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1635952258558,981,-2,798,454,733,338,682,338,637,362,612,418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1635953250772,3052,738,3567,641,3285,723,3312,840,3277,913,3181,933,4759,1007,4976,1125,5074,1203,5212,1252,5442,1301
1635953253303,2830,1140,3714,1139,3638,1136,3675,1193,3774,1272,3770,1333,3691,858,3594,924,3616,1005,3679,1072,3834,1123
1635953255963,2754,1180,3691,1223,3564,1239,3739,1296,3894,1339,4005,1372,3671,845,3563,927,3577,1010,3662,1091,3882,1169
1635953258495,2630,1146,3720,1258,3764,1328,3884,1311,3915,1315,3992,1339,3696,856,3567,901,3585,964,3658,1019,3852,1092
1635953261063,2608,1162,3696,1151,3583,1138,3679,1178,3807,1229,3830,1291,3699,851,3585,942,3632,1034,3727,1106,3960,1177
1635953315623,1267,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1888,-163,1924,-238,2060,-339,2179,-311,2317,-225
1635953318355,663,222,1325,847,1287,775,1266,817,1229,837,1183,852,1504,490,1508,478,1527,487,1562,496,1619,507
1635953320774,1003,873,1340,698,1315,692,1324,714,1312,742,1289,781,1428,648,1387,579,1409,583,1449,605,1500,615
